,location,total_sqft,bath,price,BHK
47,5th Phase JP Nagar,1390.0,2.0,6500000.0,2
48,5th Phase JP Nagar,1256.0,2.0,6280000.0,2
49,5th Phase JP Nagar,1000.0,2.0,4800000.0,2
50,5th Phase JP Nagar,1350.0,2.0,7500000.0,3
51,5th Phase JP Nagar,552.0,1.0,2350000.0,1
52,5th Phase JP Nagar,1200.0,2.0,5100000.0,2
53,5th Phase JP Nagar,1030.0,2.0,5700000.0,2
54,5th Phase JP Nagar,1200.0,2.0,6800000.0,2
55,5th Phase JP Nagar,1190.0,2.0,6180000.0,2
56,5th Phase JP Nagar,4000.0,5.0,17000000.0,5
57,5th Phase JP Nagar,1080.0,2.0,5300000.0,2
58,5th Phase JP Nagar,1041.0,2.0,5400000.0,2
59,5th Phase JP Nagar,812.0,2.0,4200000.0,2
60,5th Phase JP Nagar,1010.0,2.0,5700000.0,2
61,5th Phase JP Nagar,1075.0,2.0,6000000.0,2
62,6th Phase JP Nagar,1192.0,2.0,7400000.0,2
63,6th Phase JP Nagar,1180.0,2.0,8000000.0,2
64,6th Phase JP Nagar,3245.0,4.0,25000000.0,4
65,6th Phase JP Nagar,1645.0,3.0,10000000.0,3
66,6th Phase JP Nagar,1140.0,2.0,6500000.0,2
67,6th Phase JP Nagar,2040.0,3.0,20000000.0,3
68,6th Phase JP Nagar,1213.0,2.0,6300000.0,2
69,6th Phase JP Nagar,1216.0,2.0,6000000.0,2
70,6th Phase JP Nagar,1460.0,2.0,8000000.0,2
71,6th Phase JP Nagar,2003.0,3.0,20000000.0,3
72,6th Phase JP Nagar,1810.0,3.0,13100000.0,3
73,6th Phase JP Nagar,1515.0,2.0,13500000.0,3
74,6th Phase JP Nagar,1192.0,2.0,7500000.0,2
75,6th Phase JP Nagar,1280.0,2.0,8800000.0,2
76,7th Phase JP Nagar,1080.0,2.0,7200000.0,2
77,7th Phase JP Nagar,1270.0,2.0,9300000.0,2
78,7th Phase JP Nagar,1420.0,2.0,10000000.0,3
79,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
80,7th Phase JP Nagar,1245.0,2.0,9400000.0,2
81,7th Phase JP Nagar,1175.0,2.0,8200000.0,2
82,7th Phase JP Nagar,1400.0,2.0,9500000.0,3
83,7th Phase JP Nagar,2225.0,3.0,16000000.0,3
84,7th Phase JP Nagar,1050.0,2.0,7100000.0,2
85,7th Phase JP Nagar,1100.0,2.0,4600000.0,2
86,7th Phase JP Nagar,918.0,2.0,5049000.0,2
87,7th Phase JP Nagar,1450.0,2.0,10000000.0,3
88,7th Phase JP Nagar,1190.0,2.0,4998000.0,2
89,7th Phase JP Nagar,1420.0,2.0,9600000.0,3
90,7th Phase JP Nagar,1680.0,3.0,12000000.0,3
91,7th Phase JP Nagar,980.0,2.0,6900000.0,2
92,7th Phase JP Nagar,1180.0,2.0,7200000.0,2
93,7th Phase JP Nagar,1400.0,3.0,11500000.0,3
94,7th Phase JP Nagar,1270.0,2.0,8300000.0,2
95,7th Phase JP Nagar,2503.0,4.0,18800000.0,4
96,7th Phase JP Nagar,2200.0,3.0,19000000.0,3
97,7th Phase JP Nagar,1575.0,2.0,11000000.0,3
98,7th Phase JP Nagar,1850.0,3.0,14000000.0,3
99,7th Phase JP Nagar,1575.0,2.0,12000000.0,3
100,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
101,7th Phase JP Nagar,1680.0,3.0,12000000.0,3
102,7th Phase JP Nagar,1175.0,2.0,8250000.0,2
103,7th Phase JP Nagar,1215.0,2.0,9000000.0,2
104,7th Phase JP Nagar,1050.0,2.0,7500000.0,2
105,7th Phase JP Nagar,1300.0,3.0,8913000.0,3
106,7th Phase JP Nagar,1130.0,2.0,7300000.0,2
107,7th Phase JP Nagar,1450.0,3.0,10000000.0,3
108,7th Phase JP Nagar,1050.0,2.0,5000000.0,2
109,7th Phase JP Nagar,1275.0,2.0,8700000.0,2
110,7th Phase JP Nagar,1650.0,3.0,11000000.0,3
111,7th Phase JP Nagar,850.0,2.0,4200000.0,2
112,7th Phase JP Nagar,1680.0,3.0,11700000.0,3
113,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
114,7th Phase JP Nagar,1236.0,2.0,6133000.0,2
115,7th Phase JP Nagar,1000.0,2.0,5300000.0,2
116,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
117,7th Phase JP Nagar,1675.0,2.0,13500000.0,3
118,7th Phase JP Nagar,1187.0,2.0,5900000.0,2
119,7th Phase JP Nagar,1850.0,3.0,15500000.0,3
120,7th Phase JP Nagar,1000.0,2.0,6100000.0,2
121,7th Phase JP Nagar,1460.0,2.0,10000000.0,3
122,7th Phase JP Nagar,1650.0,3.0,11000000.0,3
123,7th Phase JP Nagar,1200.0,2.0,6250000.0,2
124,7th Phase JP Nagar,1000.0,2.0,7065000.000000001,2
125,7th Phase JP Nagar,1080.0,2.0,7500000.0,2
126,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
127,7th Phase JP Nagar,1460.0,2.0,9700000.0,3
128,7th Phase JP Nagar,1120.0,2.0,6500000.0,2
129,7th Phase JP Nagar,1100.0,3.0,6000000.0,2
130,7th Phase JP Nagar,1790.0,3.0,12000000.0,3
131,7th Phase JP Nagar,1680.0,3.0,11700000.0,3
132,7th Phase JP Nagar,1050.0,2.0,7700000.0,2
133,7th Phase JP Nagar,1050.0,2.0,7500000.0,2
134,7th Phase JP Nagar,1040.0,2.0,7500000.0,2
135,7th Phase JP Nagar,1400.0,2.0,9500000.0,3
136,7th Phase JP Nagar,1800.0,3.0,13000000.0,3
137,7th Phase JP Nagar,1050.0,2.0,6800000.0,2
138,7th Phase JP Nagar,1000.0,2.0,6000000.0,2
139,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
140,7th Phase JP Nagar,1050.0,2.0,7747000.0,2
141,7th Phase JP Nagar,1270.0,2.0,8000000.0,2
142,7th Phase JP Nagar,1680.0,3.0,12200000.0,3
143,7th Phase JP Nagar,1130.0,2.0,8500000.0,2
144,7th Phase JP Nagar,1680.0,3.0,13000000.0,3
145,7th Phase JP Nagar,980.0,2.0,7744000.0,2
146,7th Phase JP Nagar,1680.0,3.0,11200000.0,3
147,7th Phase JP Nagar,2095.0,3.0,15000000.0,3
148,7th Phase JP Nagar,1976.0,3.0,14500000.0,3
149,7th Phase JP Nagar,1600.0,2.0,11000000.0,3
150,7th Phase JP Nagar,1765.0,3.0,11800000.0,3
151,7th Phase JP Nagar,1275.0,2.0,8800000.0,3
152,7th Phase JP Nagar,1450.0,2.0,10200000.0,3
153,7th Phase JP Nagar,1575.0,2.0,11000000.0,3
154,7th Phase JP Nagar,750.0,1.0,4700000.0,1
155,7th Phase JP Nagar,990.0,2.0,5000000.0,2
156,7th Phase JP Nagar,1000.0,1.0,6000000.0,1
157,7th Phase JP Nagar,1430.0,2.0,10200000.0,3
158,7th Phase JP Nagar,1128.0,2.0,6000000.0,2
159,7th Phase JP Nagar,1140.0,2.0,5700000.0,2
160,7th Phase JP Nagar,1420.0,3.0,9000000.0,3
161,7th Phase JP Nagar,1530.0,2.0,10800000.0,2
162,8th Phase JP Nagar,1073.5,2.0,5400500.0,2
163,8th Phase JP Nagar,451.0,1.0,2990000.0,1
164,8th Phase JP Nagar,1062.0,2.0,4247000.0,2
165,8th Phase JP Nagar,1455.0,3.0,7331000.0,3
166,8th Phase JP Nagar,871.0,2.0,5500000.0,2
167,8th Phase JP Nagar,1098.0,2.0,4391000.0,2
168,8th Phase JP Nagar,1800.0,3.0,8000000.0,3
169,8th Phase JP Nagar,1080.0,2.0,3800000.0,2
170,8th Phase JP Nagar,1059.0,2.0,3450000.0,2
171,8th Phase JP Nagar,1080.0,2.0,3500000.0,2
172,8th Phase JP Nagar,1062.0,2.0,4247000.0,2
173,8th Phase JP Nagar,500.0,1.0,3100000.0,1
174,8th Phase JP Nagar,1100.0,2.0,3500000.0,2
175,8th Phase JP Nagar,1035.0,2.0,3933000.0,2
176,8th Phase JP Nagar,909.0,2.0,4090000.0,2
177,8th Phase JP Nagar,1431.5,3.0,7202000.0,3
178,8th Phase JP Nagar,1900.0,4.0,9000000.0,3
179,8th Phase JP Nagar,500.0,1.0,3000000.0,1
180,8th Phase JP Nagar,1125.0,2.0,3694000.0,2
181,8th Phase JP Nagar,1100.0,2.0,3500000.0,2
182,8th Phase JP Nagar,1089.0,2.0,4355000.0,2
183,8th Phase JP Nagar,1504.0,2.0,8300000.0,3
184,8th Phase JP Nagar,1089.0,2.0,4355000.0,2
185,8th Phase JP Nagar,1513.0,2.0,6200000.0,2
186,8th Phase JP Nagar,1298.0,2.0,5900000.0,2
187,8th Phase JP Nagar,1006.0,2.0,4400000.0,2
188,8th Phase JP Nagar,500.0,1.0,3300000.0,1
189,8th Phase JP Nagar,1245.0,2.0,5900000.0,2
190,8th Phase JP Nagar,1510.0,2.0,8000000.0,2
191,8th Phase JP Nagar,3300.0,3.0,16500000.0,3
192,8th Phase JP Nagar,1730.0,5.0,7500000.0,5
193,8th Phase JP Nagar,1046.0,2.0,4800000.0,2
194,8th Phase JP Nagar,1408.0,3.0,8000000.0,3
195,9th Phase JP Nagar,1005.0,2.0,5000000.0,2
196,9th Phase JP Nagar,1035.0,2.0,4500000.0,2
197,9th Phase JP Nagar,5000.0,4.0,29000000.0,4
198,9th Phase JP Nagar,1164.0,2.0,5600000.0,2
199,9th Phase JP Nagar,1005.0,2.0,4200000.0,2
200,9th Phase JP Nagar,1127.0,2.0,5000000.0,2
201,9th Phase JP Nagar,1005.0,2.0,4300000.0,2
202,9th Phase JP Nagar,835.0,2.0,3700000.0,2
203,9th Phase JP Nagar,1050.0,2.0,3900000.0,2
204,9th Phase JP Nagar,660.0,2.0,2700000.0,2
205,9th Phase JP Nagar,1466.0,2.0,7100000.0,2
206,9th Phase JP Nagar,1890.0,2.0,9300000.0,3
207,9th Phase JP Nagar,1079.0,2.0,6000000.0,2
208,9th Phase JP Nagar,1480.0,2.0,8000000.0,2
209,9th Phase JP Nagar,1073.0,2.0,5236000.0,2
210,9th Phase JP Nagar,1719.3,2.0,8800000.0,3
211,9th Phase JP Nagar,1780.0,3.0,8800000.0,3
212,9th Phase JP Nagar,890.0,2.0,4500000.0,2
213,9th Phase JP Nagar,1331.95,2.0,6900000.0,2
214,AECS Layout,1100.0,2.0,4500000.0,2
215,AECS Layout,1028.0,2.0,4200000.0,2
216,AECS Layout,1199.0,2.0,6500000.0,2
217,AECS Layout,1080.0,2.0,5500000.0,2
218,AECS Layout,1123.0,2.0,6400000.0,2
219,AECS Layout,1308.0,2.0,6000000.0,2
220,AECS Layout,1005.0,2.0,5500000.0,2
221,Abbigere,985.0,2.0,4039000.0,2
222,Abbigere,765.0,2.0,3000000.0,1
223,Abbigere,880.0,2.0,3500000.0,2
224,Abbigere,795.0,2.0,3254000.0,2
225,Abbigere,1005.0,2.0,3959000.0000000005,2
226,Abbigere,1020.0,2.0,4182000.0,2
227,Abbigere,985.0,2.0,4039000.0,2
228,Abbigere,2500.0,6.0,8100000.0,6
229,Abbigere,795.0,2.0,3254000.0,2
230,Abbigere,1130.0,2.0,4633000.0,2
231,Abbigere,795.0,1.0,3260000.0,2
232,Abbigere,985.0,2.0,3892000.0,2
233,Abbigere,1000.0,2.0,4100000.0,2
234,Abbigere,995.0,2.0,4079999.9999999995,2
235,Abbigere,1020.0,2.0,4079999.9999999995,2
236,Akshaya Nagar,1388.0,2.0,5700000.0,2
237,Akshaya Nagar,1070.0,2.0,5400000.0,2
238,Akshaya Nagar,1280.0,2.0,5800000.0,2
239,Akshaya Nagar,1662.0,3.0,8510000.0,3
240,Akshaya Nagar,1897.0,3.0,12000000.0,3
241,Akshaya Nagar,1410.0,2.0,7500000.0,3
242,Akshaya Nagar,1360.0,2.0,8500000.0,3
243,Akshaya Nagar,1410.0,2.0,8000000.0,3
244,Akshaya Nagar,1662.0,3.0,8500000.0,3
245,Akshaya Nagar,1662.0,3.0,8550000.0,3
246,Akshaya Nagar,1280.0,2.0,6000000.0,2
247,Akshaya Nagar,1666.0,3.0,9500000.0,3
248,Akshaya Nagar,1575.0,3.0,9000000.0,3
249,Akshaya Nagar,1430.0,2.0,7500000.0,3
250,Akshaya Nagar,1419.0,2.0,7300000.0,3
251,Akshaya Nagar,1280.0,2.0,6000000.0,2
252,Akshaya Nagar,1200.0,2.0,5000000.0,2
253,Akshaya Nagar,1092.0,2.0,6000000.0,2
254,Akshaya Nagar,1690.0,3.0,8500000.0,3
255,Akshaya Nagar,1897.0,4.0,9300000.0,3
256,Akshaya Nagar,1884.0,3.0,9800000.0,3
257,Akshaya Nagar,1314.0,2.0,6880000.0,2
258,Akshaya Nagar,1690.0,3.0,8500000.0,3
259,Akshaya Nagar,1265.0,2.0,6700000.0,2
260,Akshaya Nagar,1126.0,2.0,5500000.0,2
261,Akshaya Nagar,1662.0,3.0,9000000.0,3
262,Akshaya Nagar,1420.0,2.0,7500000.0,3
263,Akshaya Nagar,1412.0,2.0,8800000.0,3
264,Akshaya Nagar,1434.0,3.0,8400000.0,3
265,Akshaya Nagar,1890.0,4.0,10000000.0,3
266,Akshaya Nagar,1419.0,2.0,8700000.0,3
267,Akshaya Nagar,1300.0,2.0,5400000.0,2
268,Akshaya Nagar,1690.0,3.0,8500000.0,3
269,Akshaya Nagar,1113.0,2.0,5200000.0,2
270,Akshaya Nagar,1820.0,4.0,9500000.0,3
271,Akshaya Nagar,1100.0,2.0,4800000.0,2
272,Akshaya Nagar,1896.0,3.0,10200000.0,3
273,Akshaya Nagar,1300.0,2.0,6600000.0,2
274,Akshaya Nagar,1225.0,2.0,6800000.0,2
275,Akshaya Nagar,1179.0,2.0,5100000.0,2
276,Akshaya Nagar,1421.0,2.0,7300000.0,3
277,Akshaya Nagar,1893.0,4.0,9500000.0,3
278,Akshaya Nagar,900.0,2.0,4500000.0,2
279,Ambalipura,1105.0,2.0,7500000.0,2
280,Ambalipura,1800.0,3.0,11000000.0,3
281,Ambalipura,1150.0,2.0,8000000.0,2
282,Ambalipura,1250.0,2.0,6625000.0,2
283,Ambalipura,1332.0,2.0,7900000.0,2
284,Ambalipura,1730.0,3.0,12000000.0,3
285,Ambalipura,1230.0,2.0,6625000.0,2
286,Ambalipura,1351.0,2.0,7700000.0,2
287,Ambalipura,1303.0,2.0,8000000.0,2
288,Ambalipura,1607.0,2.0,11200000.0,3
289,Ambalipura,770.0,1.0,4382000.0,1
290,Ambalipura,1700.0,2.0,7600000.0,2
291,Ambalipura,1060.0,2.0,5850000.0,2
292,Ambalipura,1650.0,3.0,10000000.0,3
293,Ambalipura,1607.0,2.0,11200000.0,3
294,Ambalipura,1198.0,2.0,8000000.0,2
295,Ambedkar Nagar,1935.0,4.0,13000000.0,3
296,Ambedkar Nagar,1424.0,2.0,9000000.0,2
297,Ambedkar Nagar,2225.0,4.0,16900000.0,3
298,Ambedkar Nagar,1862.0,3.0,12000000.0,3
299,Ambedkar Nagar,1850.0,4.0,13900000.0,3
300,Ambedkar Nagar,1936.0,4.0,12600000.0,3
301,Ambedkar Nagar,1862.0,3.0,11900000.0,3
302,Ambedkar Nagar,1424.0,2.0,9000000.0,2
303,Ambedkar Nagar,2150.0,4.0,12500000.0,3
304,Ambedkar Nagar,3530.0,4.0,29000000.0,4
305,Ambedkar Nagar,1856.0,3.0,12000000.0,3
306,Ambedkar Nagar,1852.0,3.0,13000000.0,3
307,Ambedkar Nagar,1850.0,4.0,12000000.0,3
308,Ambedkar Nagar,1367.0,2.0,8600000.0,2
309,Ambedkar Nagar,3565.0,4.0,25500000.0,4
310,Ambedkar Nagar,1409.0,2.0,9500000.0,2
311,Ambedkar Nagar,1950.0,4.0,12000000.0,3
312,Ambedkar Nagar,1921.0,4.0,12900000.0,3
313,Ambedkar Nagar,1920.0,4.0,12100000.0,3
314,Ambedkar Nagar,1935.0,4.0,12500000.0,3
315,Ambedkar Nagar,1852.0,4.0,12200000.0,3
316,Ambedkar Nagar,1950.0,4.0,12000000.0,3
317,Ambedkar Nagar,1852.0,3.0,12500000.0,3
318,Ambedkar Nagar,1850.0,4.0,12100000.0,3
319,Ambedkar Nagar,1425.0,2.0,9400000.0,2
320,Ambedkar Nagar,2395.0,4.0,15000000.0,3
321,Amruthahalli,900.0,2.0,4000000.0,2
322,Amruthahalli,1200.0,2.0,5500000.0,2
323,Amruthahalli,1900.0,3.0,13500000.0,3
324,Amruthahalli,924.0,2.0,4500000.0,2
325,Amruthahalli,900.0,2.0,6000000.0,2
326,Amruthahalli,1100.0,2.0,4500000.0,2
327,Amruthahalli,1200.0,2.0,5500000.0,2
328,Amruthahalli,1450.0,2.0,8500000.0,3
329,Amruthahalli,1200.0,2.0,5500000.0,2
330,Amruthahalli,1250.0,2.0,7900000.0,2
331,Amruthahalli,1190.0,2.0,5000000.0,2
332,Amruthahalli,1202.0,2.0,6500000.0,2
333,Amruthahalli,1340.0,2.0,7500000.0,2
334,Amruthahalli,2650.0,4.0,17500000.0,3
335,Amruthahalli,1450.0,2.0,9000000.0,3
336,Amruthahalli,1025.0,2.0,4200000.0,2
337,Amruthahalli,485.0,1.0,1950000.0,1
338,Anandapura,1167.0,2.0,4376000.0,2
339,Anandapura,1000.0,2.0,5500000.0,2
340,Anandapura,1141.0,2.0,4279000.0,2
341,Anandapura,1200.0,2.0,6700000.0,2
342,Anandapura,1200.0,2.0,5800000.0,2
343,Anandapura,1151.0,2.0,4310000.0,2
344,Anandapura,1141.0,2.0,4275000.0,2
345,Anandapura,900.0,2.0,4800000.0,2
346,Anandapura,1749.0,4.0,9000000.0,4
347,Anandapura,1151.0,2.0,4290000.0,2
348,Anandapura,1250.0,2.0,4500000.0,2
349,Anandapura,1151.0,2.0,4316000.0,2
350,Anandapura,1200.0,2.0,5800000.0,2
351,Anandapura,1200.0,2.0,6600000.0,3
352,Anandapura,1415.0,2.0,7400000.0,3
353,Anandapura,1200.0,2.0,5000000.0,2
354,Anandapura,1141.0,2.0,5000000.0,2
355,Ananth Nagar,500.0,1.0,1400000.0,1
356,Ananth Nagar,1100.0,2.0,3150000.0,2
357,Ananth Nagar,982.0,2.0,2455000.0,2
358,Ananth Nagar,500.0,2.0,1400000.0,1
359,Ananth Nagar,900.0,2.0,2250000.0,2
360,Ananth Nagar,908.0,2.0,2600000.0,2
361,Ananth Nagar,937.0,2.0,3500000.0,2
362,Ananth Nagar,960.0,2.0,3700000.0,2
363,Ananth Nagar,500.0,1.0,1400000.0,1
364,Ananth Nagar,1000.0,2.0,2970000.0,2
365,Ananth Nagar,850.0,2.0,2599000.0,2
366,Ananth Nagar,902.0,2.0,2526000.0,2
367,Ananth Nagar,1470.0,3.0,5400000.0,3
368,Ananth Nagar,810.0,2.0,2550000.0,2
369,Ananth Nagar,890.0,2.0,2700000.0,2
370,Ananth Nagar,1200.0,2.0,3600000.0,2
371,Ananth Nagar,1319.0,3.0,4200000.0,3
372,Ananth Nagar,1000.0,2.0,2500000.0,2
373,Ananth Nagar,902.0,2.0,2500000.0,2
374,Ananth Nagar,930.0,2.0,2599000.0,2
375,Ananth Nagar,1074.0,2.0,2685000.0,2
376,Ananth Nagar,500.0,1.0,1400000.0,1
377,Ananth Nagar,1010.0,2.0,3800000.0,2
378,Ananth Nagar,992.0,2.0,2480000.0,2
379,Anekal,656.0,2.0,2200000.0,2
380,Anekal,620.0,2.0,2200000.0,2
381,Anekal,600.0,1.0,1650000.0,1
382,Anekal,925.0,2.0,4000000.0,2
383,Anekal,530.0,1.0,1800000.0,1
384,Anekal,351.0,1.0,1600000.0,1
385,Anekal,1035.0,2.0,3829999.9999999995,2
386,Anekal,888.0,2.0,3400000.0,2
387,Anekal,766.0,2.0,2800000.0,2
388,Anekal,967.0,2.0,4500000.0,3
389,Anekal,620.0,1.0,2350000.0,2
390,Anekal,400.0,1.0,1150000.0,1
391,Anekal,456.0,1.0,1500000.0,1
392,Anekal,2400.0,4.0,9500000.0,3
393,Anekal,420.0,1.0,1250000.0,1
394,Anekal,614.0,1.0,2800000.0,2
395,Anekal,1140.0,2.0,5200000.0,2
396,Anekal,625.0,1.0,2500000.0,2
397,Anjanapura,1850.0,4.0,8600000.0,4
398,Anjanapura,1070.0,2.0,3900000.0,2
399,Anjanapura,1500.0,3.0,12100000.0,3
400,Anjanapura,1070.0,2.0,3700000.0,2
401,Anjanapura,950.0,2.0,4000000.0,2
402,Anjanapura,1280.0,2.0,4500000.0,3
403,Anjanapura,710.0,2.0,2500000.0,2
404,Anjanapura,950.0,2.0,3200000.0,2
405,Anjanapura,1800.0,4.0,5500000.0,4
406,Anjanapura,1843.0,3.0,8754000.0,3
407,Anjanapura,1076.0,2.0,3013000.0,2
408,Anjanapura,950.0,2.0,3000000.0,2
409,Ardendale,1750.0,3.0,10000000.0,3
410,Ardendale,3198.0,4.0,20000000.0,4
411,Ardendale,2422.0,4.0,16000000.0,4
412,Ardendale,1750.0,3.0,10000000.0,3
413,Ardendale,3200.0,4.0,20500000.0,4
414,Ardendale,1728.0,3.0,9500000.0,3
415,Ardendale,2062.0,3.0,14000000.0,4
416,Ardendale,1732.46,3.0,9200000.0,3
417,Ardendale,2062.0,3.0,15000000.0,4
418,Ardendale,1224.0,2.0,7000000.0,2
419,Ardendale,1777.26,3.0,10500000.0,3
420,Ardendale,1650.0,3.0,8200000.0,3
421,Ardendale,2062.0,3.0,14000000.0,4
422,Ardendale,1650.0,3.0,8200000.0,3
423,Ardendale,1224.0,2.0,6700000.0,2
424,Ardendale,1723.0,3.0,9500000.0,3
425,Ardendale,1777.26,3.0,8900000.0,3
426,Ardendale,1777.26,3.0,9200000.0,3
427,Arekere,2060.0,3.0,14000000.0,3
428,Arekere,920.0,2.0,4000000.0,2
429,Arekere,1740.0,2.0,9500000.0,3
430,Arekere,1190.0,2.0,5500000.0,2
431,Arekere,600.0,1.0,2800000.0,1
432,Arekere,2072.0,3.0,10800000.0,3
433,Arekere,1100.0,2.0,5500000.0,2
434,Arekere,900.0,2.0,5000000.0,2
435,Arekere,2710.0,6.0,14200000.0,4
436,Arekere,1240.0,2.0,6000000.0,2
437,Arekere,900.0,2.0,4450000.0,2
438,Attibele,450.0,1.0,1100000.0,1
439,Attibele,1600.0,4.0,5280000.0,4
440,Attibele,656.0,2.0,2500000.0,2
441,Attibele,400.0,1.0,1100000.0,1
442,Attibele,400.0,1.0,1200000.0,1
443,Attibele,400.0,1.0,1400000.0,1
444,Attibele,500.0,1.0,1700000.0,1
445,Attibele,2168.0,4.0,9500000.0,4
446,Attibele,395.0,1.0,1025000.0,1
447,Attibele,420.0,1.0,1700000.0,1
448,Attibele,418.0,1.0,1200000.0,1
449,Attibele,1200.0,2.0,4200000.0,2
450,Attibele,400.0,1.0,1000000.0,1
451,Attibele,695.0,1.0,2500000.0,2
452,Attibele,850.0,1.0,2500000.0,2
453,Attibele,2400.0,3.0,12000000.0,3
454,Attibele,450.0,1.0,1250000.0,1
455,Attibele,782.0,1.0,1955000.0,1
456,Attibele,656.0,2.0,2500000.0,2
457,Attibele,400.0,1.0,1150000.0,1
458,Attibele,460.0,1.0,1300000.0,1
459,Attibele,418.0,2.0,1150000.0,1
460,Attibele,1000.0,2.0,4200000.0,2
461,Attibele,550.0,1.0,1150000.0,1
462,Attibele,410.0,1.0,1000000.0,1
463,Attibele,1700.0,3.0,6500000.0,3
464,Attibele,400.0,1.0,1025000.0,1
465,Attibele,656.0,2.0,2500000.0,2
466,Attibele,1500.0,3.0,9000000.0,3
467,Attibele,520.0,1.0,1500000.0,1
468,BEML Layout,1060.0,2.0,5500000.0,2
469,BEML Layout,999.0,2.0,4500000.0,2
470,BEML Layout,2400.0,4.0,22500000.0,5
471,BEML Layout,1194.0,2.0,6500000.0,2
472,BEML Layout,1200.0,2.0,6700000.0,2
473,BEML Layout,2400.0,2.0,22800000.0,2
474,BEML Layout,1194.0,2.0,6500000.0,2
475,BTM 2nd Stage,1260.0,5.0,18500000.0,3
476,BTM 2nd Stage,950.0,2.0,5200000.0,2
477,BTM 2nd Stage,1850.0,3.0,17000000.0,3
478,BTM 2nd Stage,1200.0,2.0,8000000.0,2
479,BTM 2nd Stage,1274.0,2.0,7000000.0,2
480,BTM 2nd Stage,1070.0,2.0,4800000.0,2
481,BTM 2nd Stage,1280.0,2.0,8000000.0,2
482,BTM 2nd Stage,1100.0,2.0,7000000.0,2
483,BTM 2nd Stage,1000.0,2.0,5800000.0,2
484,BTM 2nd Stage,2990.0,5.0,41600000.0,5
485,BTM 2nd Stage,1265.0,2.0,5500000.0,2
486,BTM 2nd Stage,2200.0,3.0,22000000.0,3
487,BTM 2nd Stage,2780.0,4.0,32500000.0,3
488,BTM 2nd Stage,2400.0,2.0,36000000.0,3
489,BTM 2nd Stage,965.0,2.0,5600000.0,2
490,BTM 2nd Stage,1147.0,2.0,7500000.0,2
